Warning                                            Type                                          Event                                                                      Group            Date       Hours      Minutes    Seconds    
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     03/01/06         21         37         10
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     03/01/06         21         37         10
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     03/01/06         21         37         11
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     03/01/06         21         40         14
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     03/01/06         21         40         20
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     03/01/06         21         46         54
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     03/01/06         21         59         17
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     03/01/06         22         48         14
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     11/04/06         16          5          0
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     07/05/06          1         27         20
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     08/05/06          1         38         54
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     08/05/06          1         38         55
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     08/05/06          1         38         55
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     08/05/06          1         38         56
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/05/06          1         39          0
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     08/05/06          1         40          8
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     08/05/06          1         46         44
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     08/05/06          1         59          7
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     08/05/06          2         49         44
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     17/09/06          3          3         14
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     17/09/06          3          3         15
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     17/09/06          3          4         23
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     17/09/06          3          7         33
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/03/07          5         24         14
